time,AccX,AccY,AccZ,pressureTR, pressureBR, pressureTL, pressureBL,rawPressureTR,rawPressureBR,rawPressureTL,rawPressureBL
21:59:12.362039,0.000000,0.000000,-1.057692,,,,,,,,
21:59:12.362184,0.057692,0.000000,-1.000000,,,,,,,,
21:59:12.362245,0.038462,0.000000,-1.038462,,,,,,,,
21:59:12.362316,0.038462,0.037037,-1.038462,,,,,,,,
21:59:12.362367,0.057692,0.055556,-1.000000,,,,,,,,
21:59:12.362417,0.038462,0.055556,-1.038462,,,,,,,,
21:59:12.362467,0.000000,0.000000,-1.057692,,,,,,,,
21:59:12.362516,0.038462,0.000000,-1.038462,,,,,,,,
21:59:12.362609,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.362691,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.362745,0.057692,0.000000,-1.076923,,,,,,,,
21:59:12.362797,0.038462,0.000000,-1.038462,,,,,,,,
21:59:12.362847,0.038462,0.055556,-1.038462,,,,,,,,
21:59:12.362897,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.362953,0.019231,0.018519,-0.942308,,,,,,,,
21:59:12.363004,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.363054,0.057692,0.000000,-1.000000,,,,,,,,
21:59:12.363105,0.038462,0.000000,-1.038462,,,,,,,,
21:59:12.363158,0.000000,0.000000,-1.057692,,,,,,,,
21:59:12.363208,0.038462,0.000000,-1.038462,,,,,,,,
21:59:12.393906,0.038462,0.037037,-1.038462,,,,,,,,
21:59:12.394021,0.057692,0.000000,-1.000000,,,,,,,,
21:59:12.420204,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.438650,0.038462,0.000000,-1.038462,,,,,,,,
21:59:12.443970,0.019231,0.055556,-1.057692,,,,,,,,
21:59:12.461572,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.470341,0.038462,0.000000,-1.038462,,,,,,,,
21:59:12.491648,0.057692,0.000000,-1.000000,,,,,,,,
21:59:12.501888,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.520084,0.057692,0.000000,-1.000000,,,,,,,,
21:59:12.535557,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.535688,0.000000,0.000000,-1.057692,,,,,,,,
21:59:12.564687,0.019231,0.000000,-1.019231,,,,,,,,
21:59:12.567366,0.000000,0.000000,-1.057692,,,,,,,,
21:59:12.592830,0.000000,0.037037,-1.057692,,,,,,,,
21:59:12.605132,0.057692,0.000000,-1.000000,,,,,,,,
21:59:12.622149,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.622284,0.057692,0.000000,-1.000000,,,,,,,,
21:59:12.636925,0.038462,0.037037,-1.038462,,,,,,,,
21:59:12.637044,0.057692,0.018519,-1.000000,,,,,,,,
21:59:12.662813,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.666543,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.683991,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.711619,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.716512,0.057692,0.037037,-1.038462,,,,,,,,
21:59:12.744152,0.057692,0.018519,-1.000000,,,,,,,,
21:59:12.771640,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.819096,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.876619,0.038462,0.000000,-1.038462,,,,,,,,
21:59:12.879817,0.057692,0.037037,-1.000000,,,,,,,,
21:59:12.895142,0.038462,0.037037,-1.038462,,,,,,,,
21:59:12.907707,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.924657,0.019231,0.000000,-1.019231,,,,,,,,
21:59:12.924761,0.000000,0.000000,-1.057692,,,,,,,,
21:59:12.942550,0.038462,0.018519,-1.038462,,,,,,,,
21:59:12.942653,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.957118,0.019231,0.018519,-1.019231,,,,,,,,
21:59:12.994195,0.000000,0.018519,-1.057692,,,,,,,,
21:59:12.997518,0.057692,0.000000,-1.000000,,,,,,,,
21:59:13.007479,0.000000,0.018519,-1.057692,,,,,,,,
21:59:13.027057,0.057692,0.018519,-1.000000,,,,,,,,
21:59:13.040460,0.038462,0.037037,-1.038462,,,,,,,,
21:59:13.040597,0.057692,0.055556,-1.000000,,,,,,,,
21:59:13.070666,0.038462,0.018519,-1.038462,,,,,,,,
21:59:13.070801,0.000000,0.018519,-1.057692,,,,,,,,
21:59:13.087675,0.038462,0.000000,-1.038462,,,,,,,,
21:59:13.090092,0.000000,0.018519,-1.057692,,,,,,,,
21:59:13.128444,0.019231,0.018519,-1.019231,,,,,,,,
21:59:13.131465,0.000000,0.018519,-1.057692,,,,,,,,
21:59:13.157908,0.019231,0.018519,-1.019231,,,,,,,,
21:59:13.160955,0.000000,0.018519,-1.057692,,,,,,,,
21:59:13.177724,0.019231,0.018519,-1.019231,,,,,,,,
21:59:13.191104,0.000000,0.018519,-1.057692,,,,,,,,
21:59:13.208950,0.000000,0.055556,-1.057692,,,,,,,,
21:59:13.224438,0.038462,0.000000,-1.038462,,,,,,,,
21:59:13.242592,0.057692,0.037037,-1.000000,,,,,,,,
21:59:13.242725,0.019231,0.018519,-1.019231,,,,,,,,
21:59:13.258198,0.000000,0.000000,-1.057692,,,,,,,,
21:59:13.276530,0.038462,0.000000,-1.038462,,,,,,,,
21:59:13.290072,0.000000,0.000000,-1.057692,,,,,,,,
21:59:13.306881,0.000000,0.037037,-1.057692,,,,,,,,
21:59:13.307021,0.057692,0.000000,-1.000000,,,,,,,,
21:59:13.325555,0.038462,0.018519,-1.038462,,,,,,,,
